State,City,ICAO,Coordinates,X,Y,X',Y'
WI,Milwaukee,KMKX,42.9678286°N 88.5506335°W,42.9678286°N,88.5506335°W,42.9678286,88.5506335
MN,Duluth,KDLH,46.8368569°N 92.2097433°W,46.8368569°N,92.2097433°W,46.8368569,92.2097433
MN,Minneapolis/St. Paul,KMPX,44.8488029°N 93.5654873°W,44.8488029°N,93.5654873°W,44.8488029,93.5654873
IA,Davenport,KDVN,41.611556°N 90.5809987°W,41.611556°N ,90.5809987°W,41.611556,90.5809987
IA,Des Moines,KDMX,41.7311788°N 93.7229235°W,41.7311788°N,93.7229235°W,41.7311788,93.7229235
MO,Kansas City,KEAX,38.8102231°N 94.2644924°W,38.8102231°N,94.2644924°W,38.8102231,94.2644924
MO,Springfield,KSGF,37.235223°N 93.4006011°W,37.235223°N ,93.4006011°W,37.235223,93.4006011
MO,St. Louis,KLSX,38.6986863°N 90.682877°W,38.6986863°,90.682877°W,38.698686,90.682877
AR,Fort Smith,KSRX,35.2904423°N 94.3619075°W,35.2904423°N,94.3619075°W,35.2904423,94.3619075
AR,Little Rock,KLZK,34.8365261°N 92.2621697°W,34.8365261°N,92.2621697°W,34.8365261,92.2621697
LA,Fort Polk,KPOE,31.1556923°N 92.9762596°W,31.1556923°N,92.9762596°W,31.1556923,92.9762596
LA,Lake Charles,KLCH,30.125382°N 93.2161188°W,30.125382°N ,93.2161188°W,30.125382,93.2161188
LA,New Orleans,KLIX,30.3367133°N 89.8256618°W,30.3367133°N,89.8256618°W,30.3367133,89.8256618
LA,Shreveport,KSHV,32.450813°N 93.8412774°W,32.450813°N ,93.8412774°W,32.450813,93.8412774
TX,Amarillo,KAMA,35.2334827°N 101.7092478°W,35.2334827°N ,101.7092478°W,35.2334827,101.7092478
TX,Austin/San Antonio,KEWX,29.7039802°N 98.028506°W,29.7039802°,98.028506°W,29.703980,98.028506
TX,Brownsville,KBRO,25.9159979°N 97.4189526°W,25.9159979°N,97.4189526°W,25.9159979,97.4189526
TX,Corpus Christi,KCRP,27.7840203°N 97.511234°W,27.7840203°,97.511234°W,27.784020,97.511234
TX,Dallas/Ft. Worth,KFWS,32.5730186°N 97.3031911°W,32.5730186°N,97.3031911°W,32.5730186,97.3031911
TX,Dyess AFB,KDYX,32.5386009°N 99.2542863°W,32.5386009°N,99.2542863°W,32.5386009,99.2542863
TX,El Paso,KEPZ,31.8731115°N 106.697942°W,31.8731115°N,106.697942°W,31.8731115,106.697942
TX,Fort Hood,KGRK,30.7217637°N 97.3829627°W,30.7217637°N,97.3829627°W,30.7217637,97.3829627
TX,Houston/Galveston,KHGX,29.4718835°N 95.0788593°W,29.4718835°N,95.0788593°W,29.4718835,95.0788593
TX,Laughlin AFB,KDFX,29.2730823°N 100.2802312°W,29.2730823°N ,100.2802312°W,29.2730823,100.2802312
TX,Lubbock,KLBB,33.6541242°N 101.814149°W,33.6541242°N,101.814149°W,33.6541242,101.814149
TX,Midland/Odessa,KMAF,31.9433953°N 102.1894383°W,31.9433953°N ,102.1894383°W,31.9433953,102.1894383
TX,San Angelo,KSJT,31.3712815°N 100.4925227°W,31.3712815°N ,100.4925227°W,31.3712815,100.4925227
OK,Frederick,KFDR,34.3620014°N 98.9766884°W,34.3620014°N,98.9766884°W,34.3620014,98.9766884
OK,Oklahoma City,KTLX,35.3333873°N 97.2778255°W,35.3333873°N,97.2778255°W,35.3333873,97.2778255
OK,Norman (Testbed),No Level III Data,35.2358°N 97.4622°W,35.2358°N,97.4622°W,35.2358,97.4622
OK,Tulsa,KINX,36.1750977°N 95.5642802°W,36.1750977°N,95.5642802°W,36.1750977,95.5642802
OK,Vance AFB,KVNX,36.7406166°N 98.1279409°W,36.7406166°N,98.1279409°W,36.7406166,98.1279409
KS,Dodge City,KDDC,37.7608043°N 99.9688053°W,37.7608043°N,99.9688053°W,37.7608043,99.9688053
KS,Goodland,KGLD,39.3667737°N 101.7004341°W,39.3667737°N ,101.7004341°W,39.3667737,101.7004341
KS,Topeka,KTWX,38.996998°N 96.232618°W,38.996998°N,96.232618°W,38.996998,96.232618
KS,Wichita,KICT,37.6545724°N 97.4431461°W,37.6545724°N,97.4431461°W,37.6545724,97.4431461
NE,Grand Island/Hastings,KUEX,40.320966°N 98.4418559°W,40.320966°N ,98.4418559°W,40.320966,98.4418559
NE,North Platte,KLNX,41.9579623°N 100.5759609°W,41.9579623°N ,100.5759609°W,41.9579623,100.5759609
NE,Omaha,KOAX,41.3202803°N 96.3667971°W,41.3202803°N,96.3667971°W,41.3202803,96.3667971
SD,Aberdeen,KABR,45.4558185°N 98.4132046°W,45.4558185°N,98.4132046°W,45.4558185,98.4132046
SD,Rapid City,KUDX,44.1248485°N 102.8298157°W,44.1248485°N ,102.8298157°W,44.1248485,102.8298157
SD,Sioux Falls,KFSD,43.5877467°N 96.7293674°W,43.5877467°N,96.7293674°W,43.5877467,96.7293674
ND,Bismarck,KBIS,46.7709329°N 100.7605532°W,46.7709329°N ,100.7605532°W,46.7709329,100.7605532
ND,Grand Forks (Mayville),KMVX,47.5279417°N 97.3256654°W,47.5279417°N,97.3256654°W,47.5279417,97.3256654
ND,Minot AFB,KMBX,48.39303°N 100.8644378°W,48.39303°N 10,100.8644378°W,48.39303,100.8644378
MT,Billings,KBLX,45.8537632°N 108.6068165°W,45.8537632°N ,108.6068165°W,45.8537632,108.6068165
MT,Glasgow,KGGW,48.2064536°N 106.6252971°W,48.2064536°N ,106.6252971°W,48.2064536,106.6252971
MT,Great Falls,KTFX,47.4595023°N 111.3855368°W,47.4595023°N ,111.3855368°W,47.4595023,111.3855368
MT,Missoula,KMSX,47.0412971°N 113.9864373°W,47.0412971°N ,113.9864373°W,47.0412971,113.9864373
WY,Cheyenne,KCYS,41.1519308°N 104.8060325°W,41.1519308°N ,104.8060325°W,41.1519308,104.8060325
WY,Riverton,KRIW,43.0660779°N 108.4773731°W,43.0660779°N ,108.4773731°W,43.0660779,108.4773731
CO,Denver,KFTG,39.7866156°N 104.5458126°W,39.7866156°N ,104.5458126°W,39.7866156,104.5458126
CO,Grand Junction,KGJX,39.0619824°N 108.2137012°W,39.0619824°N ,108.2137012°W,39.0619824,108.2137012
CO,Pueblo,KPUX,38.4595034°N 104.1816223°W,38.4595034°N ,104.1816223°W,38.4595034,104.1816223
NM,Albuquerque,KABX,35.1497579°N 106.8239576°W,35.1497579°N ,106.8239576°W,35.1497579,106.8239576
NM,Cannon AFB,KFDX,34.6341569°N 103.6186427°W,34.6341569°N ,103.6186427°W,34.6341569,103.6186427
NM,Holloman AFB,KHDX,33.0768844°N 106.1200923°W,33.0768844°N ,106.1200923°W,33.0768844,106.1200923
AZ,Flagstaff,KFSX,34.574449°N 111.198367°W,34.574449°N ,111.198367°W,34.574449,111.198367
AZ,Phoenix,KIWA,33.289111°N 111.6700092°W,33.289111°N 1,111.6700092°W,33.289111,111.6700092
AZ,Tucson,KEMX,31.8937186°N 110.6304306°W,31.8937186°N ,110.6304306°W,31.8937186,110.6304306
AZ,Yuma,KYUX,32.4953477°N 114.6567214°W,32.4953477°N ,114.6567214°W,32.4953477,114.6567214
UT,Cedar City,KICX,37.59083°N 112.86222°W,37.59083°N ,112.86222°W,37.59083,112.86222
UT,Salt Lake City,KMTX,41.2627795°N 112.4480081°W,41.2627795°N ,112.4480081°W,41.2627795,112.4480081
ID,Boise,KCBX,43.4902104°N 116.2360436°W,43.4902104°N ,116.2360436°W,43.4902104,116.2360436
ID,Pocatello/Idaho Falls,KSFX,43.1055967°N 112.6860487°W,43.1055967°N ,112.6860487°W,43.1055967,112.6860487
NV,Elko,KLRX,40.7396933°N 116.8025529°W,40.7396933°N ,116.8025529°W,40.7396933,116.8025529
NV,Las Vegas,KESX,35.7012894°N 114.8918277°W,35.7012894°N ,114.8918277°W,35.7012894,114.8918277
NV,Reno,KRGX,39.7541931°N 119.4620597°W,39.7541931°N ,119.4620597°W,39.7541931,119.4620597
CA,Beale AFB,KBBX,39.4956958°N 121.6316557°W,39.4956958°N ,121.6316557°W,39.4956958,121.6316557
CA,Edwards AFB,KEYX,35.0979358°N 117.5608832°W,35.0979358°N ,117.5608832°W,35.0979358,117.5608832
CA,Eureka,KBHX,40.4986955°N 124.2918867°W,40.4986955°N ,124.2918867°W,40.4986955,124.2918867
CA,Los Angeles,KVTX,34.4116386°N 119.1795641°W,34.4116386°N ,119.1795641°W,34.4116386,119.1795641
CA,Sacramento,KDAX,38.5011529°N 121.6778487°W,38.5011529°N ,121.6778487°W,38.5011529,121.6778487
CA,San Diego,KNKX,32.9189891°N 117.041814°W,32.9189891°N,117.041814°W,32.9189891,117.041814
CA,San Francisco,KMUX,37.155152°N 121.8984577°W,37.155152°N 1,121.8984577°W,37.155152,121.8984577
CA,San Joaquin Valley,KHNX,36.3142088°N 119.6320903°W,36.3142088°N ,119.6320903°W,36.3142088,119.6320903
CA,Santa Ana Mountains,KSOX,33.8176452°N 117.6359743°W,33.8176452°N ,117.6359743°W,33.8176452,117.6359743
CA,Vandenberg AFB,KVBG,34.8383137°N 120.3977805°W,34.8383137°N ,120.3977805°W,34.8383137,120.3977805
HI,Kauai,PHKI,21.8938762°N 159.5524585°W,21.8938762°N ,159.5524585°W,21.8938762,159.5524585
HI,Kohala,PHKM,20.1254606°N 155.778054°W,20.1254606°N,155.778054°W,20.1254606,155.778054
HI,Molokai,PHMO,21.1327531°N 157.1802807°W,21.1327531°N ,157.1802807°W,21.1327531,157.1802807
HI,South Shore,PHWA,19.0950155°N 155.5688846°W,19.0950155°N ,155.5688846°W,19.0950155,155.5688846
OR,Medford,KMAX,42.0810766°N 122.7173334°W,42.0810766°N ,122.7173334°W,42.0810766,122.7173334
OR,Pendleton,KPDT,45.6906118°N 118.8529301°W,45.6906118°N ,118.8529301°W,45.6906118,118.8529301
OR,Portland,KRTX,45.7150308°N 122.9650542°W,45.7150308°N ,122.9650542°W,45.7150308,122.9650542
WA,Langley Hill,KLGX,47.116806°N 124.10625°W,47.116806°N,124.10625°W,47.116806,124.10625
WA,Seattle/Tacoma,KATX,48.1945614°N 122.4957508°W,48.1945614°N ,122.4957508°W,48.1945614,122.4957508
WA,Spokane,KOTX,47.6803744°N 117.6267797°W,47.6803744°N ,117.6267797°W,47.6803744,117.6267797
AK,Bethel,PABC,60.791987°N 161.876539°W,60.791987°N ,161.876539°W,60.791987,161.876539
AK,Fairbanks/Pedro Dome,PAPD,65.0351238°N 147.5014222°W,65.0351238°N ,147.5014222°W,65.0351238,147.5014222
AK,Kenai,PAHG,60.6156335°N 151.2832296°W,60.6156335°N ,151.2832296°W,60.6156335,151.2832296
AK,King Salmon,PAKC,58.6794558°N 156.6293335°W,58.6794558°N ,156.6293335°W,58.6794558,156.6293335
AK,Middleton Island,PAIH,59.46194°N 146.30111°W,59.46194°N ,146.30111°W,59.46194,146.30111
AK,Nome,PAEC,64.5114973°N 165.2949071°W,64.5114973°N ,165.2949071°W,64.5114973,165.2949071
AK,Sitka/Biorka Island,PACG,56.85214°N 135.552417°W,56.85214°N 1,135.552417°W,56.85214,135.552417
GU,Andersen AFB,PGUA,13.455965°N 144.8111022°E,13.455965°N 1,144.8111022°E,13.455965,144.8111022
NA,"Lajes Field, Azores",LPLA,38.73028°N 27.32167°W,38.73028°N,27.32167°W,38.73028,27.32167
SK,"Kunsan Air Base, South Korea",RKJK,35.92417°N 126.62222°E,35.92417°N ,126.62222°E,35.92417,126.62222
SK,"Camp Humphreys, South Korea",RKSG,37.207652°N 127.285614°E,37.207652°N ,127.285614°E,37.207652,127.285614
JP,"Kadena Air Base, Japan",RODN,,,,26.307796,127.903422
